"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"id","numeric",60,0,60,30.5,30.5,30.5,NA,17.464249196573,NA,1,60,59,0,0,-1.26014480874317,-1.03546537000417,NA,NA
"sex","factor",60,0,3,NA,NA,30,"1",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age","numeric",51,0.15,52,23.104890774769,22.1279554320662,22.1279554320662,NA,4.32251638143887,NA,16.8396626004491,35.4758826723738,18.6362200719247,0.901921636584782,1.35235180866932,0.184406478613939,0.140570768115604,NA,NA
"group","factor",60,0,4,NA,NA,20,"1",NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exam","numeric",60,0,32,67.8,65.5,65.5,NA,10.4732103766333,NA,46,95,49,0.639303936426518,1.03549812226424,-0.268587751921233,-0.220699489449225,NA,NA
"confid","numeric",52,0.133333333333333,20,17.8076923076923,18,18,NA,5.24699152470555,NA,9,32,23,0.484370523749528,0.732975751417127,0.126675190965023,0.0974284779601312,NA,NA
"depress","numeric",60,0,23,42.35,42.5,42.5,NA,6.05854208563329,NA,26,55,29,-0.569697020267761,-0.922753890808562,0.226867620687705,0.18641791258233,NA,NA
"fost","numeric",52,0.133333333333333,25,42.1538461538462,42,42,NA,6.0694820510505,NA,29,58,29,0.246559616957941,0.373107387109127,-0.231547983880165,-0.178088286051296,NA,NA
